paper_key,first_author,year,journal,doi,n_arms
P273_GONG_2025,Gong,2025,Nan fang yi ke da xue xue bao = Journal of Southern Medical University,10.12122/j.issn.1673-4254.2025.11.17,8
P274_HOANG_2023,Hoang,2023,"Cells, tissues, organs",10.1159/000521787,8
P275_HAO_2023,Hao,2023,Optics letters,10.1364/OL.493824,1
P277_VOLMER_2025,Volmert,2025,"Methods in molecular biology (Clifton, N.J.)",10.1007/7651_2024_545,1
P278_THOMAS_2024,Thomas,2024,Nature cardiovascular research,10.1038/s44161-024-00543-8,3
P279_KAYNAK_2026,Kaynak,2026,"Advanced materials (Deerfield Beach, Fla.)",10.1002/adma.202509675,5
P281_PARKER_2026,Parker,2026,Journal of visualized experiments : JoVE,10.3791/70310,4
P283_HOANG_2018,Hoang,2018,Nature protocols,10.1038/nprot.2018.006,3
P284_KANDUL_2024,Kandula,2024,bioRxiv : the preprint server for biology,10.1101/2024.01.15.575724,1
P285_JAHNEL_2026,Jahnel,2026,bioRxiv : the preprint server for biology,10.64898/2026.01.26.700345,4
P287_KITSUK_2019,Kitsuka,2019,PloS one,10.1371/journal.pone.0213114,2
P288_RAVLO_2025,Ravlo,2025,Cellular and molecular life sciences : CMLS,10.1007/s00018-025-05581-4,1
P289_HUANG_2024,Huang,2024,Nature communications,10.1038/s41467-024-50919-4,1
P290_MOSHKS_2023,Moshksayan,2023,Scientific reports,10.1038/s41598-023-38212-8,1
P291_PARK_2026,Park,2026,Scientific reports,10.1038/s41598-025-34504-3,1
P292_KANG_2026,Kang,2026,Scientific reports,10.1038/s41598-026-51332-1,6
P293_SALLAM_2022,Sallam,2022,Circulation,10.1161/CIRCULATIONAHA.121.054317,3
P294_SIM_2021,Sim,2021,Circulation,10.1161/CIRCULATIONAHA.120.051921,3
P296_PARK_2025,Park,2025,Nano letters,10.1021/acs.nanolett.5c00069,3
P298_ARHONT_2022,Arhontoulis,2022,Journal of tissue engineering and regenerative medicine,10.1002/term.3327,3
